Date,Pop,Shell Number,Drill,NoDrill
12/17/13,N,1,1,
12/17/13,N,2,1,
12/17/13,N,3,1,
12/17/13,N,4,1,
12/17/13,N,5,1,
12/17/13,N,6,1,
12/17/13,N,7,1,
12/17/13,N,8,1,
12/17/13,N,9,1,
12/17/13,N,10,1,
12/17/13,N,11,1,
12/17/13,N,12,1,
12/17/13,N,13,1,
12/17/13,N,14,1,
12/17/13,N,15,1,
12/17/13,N,16,1,
12/17/13,N,17,1,
12/17/13,N,18,1,
12/17/13,N,19,1,
12/17/13,N,20,1,
12/17/13,N,21,1,
12/17/13,N,22,,1
12/17/13,N,23,,1
12/17/13,N,24,,1
12/17/13,N,25,,1
12/17/13,N,26,,1
12/17/13,N,27,,1
12/17/13,N,28,,1
12/17/13,N,29,,1
12/17/13,N,30,,1
12/17/13,N,31,,1
12/17/13,N,32,,1
12/17/13,N,33,,1
12/17/13,N,34,,1
12/17/13,N,35,,1
12/17/13,N,36,,1
12/17/13,N,37,,1
12/17/13,N,38,,1
12/17/13,N,39,,1
12/17/13,N,1,1,
12/17/13,N,2,1,
12/17/13,N,3,1,
12/17/13,N,4,1,
12/17/13,N,5,1,
12/17/13,N,6,1,
12/17/13,N,7,1,
12/17/13,N,8,1,
12/17/13,N,9,1,
12/17/13,N,10,1,
12/17/13,N,11,1,
12/17/13,N,12,1,
12/17/13,N,13,1,
12/17/13,N,14,1,
12/17/13,N,15,1,
12/17/13,N,16,1,
12/17/13,N,17,1,
12/17/13,N,18,1,
12/17/13,N,19,1,
12/17/13,N,20,1,
12/17/13,N,21,1,
12/17/13,N,22,1,
12/17/13,N,23,1,
12/17/13,N,24,1,
12/17/13,N,25,1,
12/17/13,N,26,1,
12/17/13,N,27,1,
12/17/13,N,28,1,
12/17/13,N,29,1,
12/17/13,N,30,1,
12/17/13,N,31,1,
12/17/13,N,32,1,
12/17/13,N,33,1,
12/17/13,N,34,1,
12/17/13,N,35,1,
12/17/13,N,36,1,
12/17/13,N,37,1,
12/17/13,N,38,1,
12/17/13,N,39,1,
12/17/13,N,40,1,
12/17/13,N,41,1,
12/17/13,N,42,1,
12/17/13,N,43,1,
12/17/13,N,44,1,
12/17/13,N,45,1,
12/17/13,N,46,1,
12/17/13,N,47,1,
12/17/13,N,48,1,
12/17/13,N,49,1,
12/17/13,N,50,1,
12/17/13,N,51,1,
12/17/13,N,52,1,
12/17/13,N,53,1,
12/17/13,N,54,,1
12/17/13,N,55,,1
12/17/13,N,56,,1
12/17/13,N,57,,1
12/17/13,N,58,,1
12/17/13,N,59,,1
12/17/13,N,60,,1
12/17/13,N,61,,1
12/17/13,N,62,,1
12/17/13,N,63,,1
12/17/13,N,64,,1
12/17/13,N,65,,1
12/17/13,N,66,,1
12/17/13,N,67,,1
12/17/13,N,68,,1
12/17/13,N,69,,1
12/17/13,N,70,,1
12/17/13,N,71,,1
12/17/13,N,72,,1
12/17/13,N,73,,1
12/17/13,N,74,,1
12/17/13,N,75,,1
12/17/13,N,76,,1
12/17/13,N,77,,1
12/17/13,N,78,,1
12/17/13,N,79,,1
12/17/13,N,80,,1
12/17/13,N,81,,1
12/17/13,N,82,,1
12/17/13,N,83,,1
12/17/13,N,84,,1
12/17/13,N,85,,1
12/17/13,N,86,,1
12/17/13,N,87,,1
12/17/13,N,88,,1
12/17/13,N,89,,1
12/17/13,N,90,,1
12/17/13,N,1,1,
12/17/13,N,2,1,
12/17/13,N,3,1,
12/17/13,N,4,1,
12/17/13,N,5,1,
12/17/13,N,6,1,
12/17/13,N,7,1,
12/17/13,N,8,1,
12/17/13,N,9,1,
12/17/13,N,10,1,
12/17/13,N,11,1,
12/17/13,N,12,1,
12/17/13,N,13,1,
12/17/13,N,14,1,
12/17/13,N,15,1,
12/17/13,N,16,1,
12/17/13,N,17,1,
12/17/13,N,18,1,
12/17/13,N,19,1,
12/17/13,N,20,1,
12/17/13,N,21,1,
12/17/13,N,22,1,
12/17/13,N,23,1,
12/17/13,N,24,1,
12/17/13,N,25,1,
12/17/13,N,26,1,
12/17/13,N,27,1,
12/17/13,N,28,1,
12/17/13,N,29,1,
12/17/13,N,30,1,
12/17/13,N,31,1,
12/17/13,N,32,1,
12/17/13,N,33,1,
12/17/13,N,34,1,
12/17/13,N,35,1,
12/17/13,N,36,1,
12/17/13,N,37,1,
12/17/13,N,38,1,
12/17/13,N,39,,1
12/17/13,N,40,,1
12/17/13,N,41,,1
12/17/13,N,42,,1
12/17/13,N,43,,1
